Order_ID, Date_, Subtotal, Tip, Coupon_Code
0,2022-10-3,25.0,4.35,
1,2022-10-3,10,1.73,
2,2022-10-3,10,3.31,
3,2022-10-3,20,2.97,
4,2022-10-3,37.5,3.04,
5,2022-10-3,57.5,4.01,
6,2022-10-3,10,2.7,
7,2022-10-3,32.5,0.51,
8,2022-10-3,30,0.45,
9,2022-10-3,42.5,1.26,
10,2022-10-3,45.0,2.25,
11,2022-10-3,20,0.08,
12,2022-10-3,57.5,1.56,
13,2022-10-3,20,3.83,
14,2022-10-3,35.0,0.14,
15,2022-10-3,47.5,1.4,
16,2022-10-3,12.5,1.46,
17,2022-10-3,60.0,3.55,
18,2022-10-3,10,4.61,
19,2022-10-3,47.5,4.95,
20,2022-10-3,10,2.57,
21,2022-10-3,55.0,3.57,
22,2022-10-3,10,3.47,
23,2022-10-3,55.0,2.27,
24,2022-10-3,22.5,4.55,
25,2022-10-3,12.5,4.64,
26,2022-10-3,22.5,4.0,
27,2022-10-3,12.5,2.99,
28,2022-10-3,25.0,1.74,
29,2022-10-3,10,2.06,
30,2022-10-3,47.5,3.86,
31,2022-10-3,50.0,4.3,
32,2022-10-3,45.0,4.65,
33,2022-10-3,32.5,3.81,
34,2022-10-3,20,4.89,
35,2022-10-3,12.5,0.68,
36,2022-10-3,32.5,4.99,
37,2022-10-3,32.5,1.49,
38,2022-10-3,52.5,1.69,
39,2022-10-3,12.5,1.94,
40,2022-10-3,22.5,0.26,
41,2022-10-3,20,2.26,
42,2022-10-3,32.5,4.12,
43,2022-10-3,30,3.35,
44,2022-10-3,35.0,1.19,
45,2022-10-3,30,0.18,
46,2022-10-3,12.5,0.54,
47,2022-10-3,57.5,3.02,
48,2022-10-3,22.5,4.1,
49,2022-10-3,12.5,2.02,
50,2022-10-3,35.0,0.13,
51,2022-10-3,45.0,4.94,
52,2022-10-3,62.5,2.59,
53,2022-10-3,10,4.74,
54,2022-10-3,22.5,2.28,
55,2022-10-3,47.5,3.2,
56,2022-10-3,55.0,4.14,
57,2022-10-3,50.0,3.6,
58,2022-10-3,45.0,4.78,
59,2022-10-3,22.5,4.3,
60,2022-10-3,32.5,0.69,
61,2022-10-3,20,4.43,
62,2022-10-3,10,4.05,
63,2022-10-3,50.0,1.27,
64,2022-10-3,30,1.74,
65,2022-10-3,60.0,2.98,
66,2022-10-3,32.5,0.54,
67,2022-10-3,45.0,3.67,
68,2022-10-3,35.0,3.68,
69,2022-10-3,32.5,1.34,
70,2022-10-3,12.5,2.78,
71,2022-10-3,47.5,3.1,
72,2022-10-3,35.0,2.13,
73,2022-10-3,25.0,2.34,
74,2022-10-3,55.0,4.27,
75,2022-10-3,47.5,2.51,
76,2022-10-3,60.0,3.49,
77,2022-10-3,45.0,1.47,
78,2022-10-3,10,0.5,
79,2022-10-3,32.5,0.27,
80,2022-10-3,10,0.13,
81,2022-10-3,32.5,4.0,
82,2022-10-3,10,0.11,
83,2022-10-3,10,1.8,
84,2022-10-3,25.0,1.98,
85,2022-10-3,47.5,1.98,
86,2022-10-3,10,0.24,
87,2022-10-3,20,4.55,
88,2022-10-3,45.0,1.7,
89,2022-10-3,45.0,1.25,
90,2022-10-3,25.0,0.97,
91,2022-10-3,30,4.55,
92,2022-10-3,52.5,4.33,
93,2022-10-3,12.5,2.94,
94,2022-10-3,12.5,1.98,
95,2022-10-3,12.5,0.32,
96,2022-10-3,12.5,0.79,
97,2022-10-3,60.0,0.73,
98,2022-10-3,32.5,3.46,
99,2022-10-3,10,2.79,
100,2022-10-4,10,1.95,
101,2022-10-4,60.0,4.04,
102,2022-10-4,55.0,4.29,
103,2022-10-4,12.5,1.63,
104,2022-10-4,22.5,2.15,
105,2022-10-4,55.0,3.9,
106,2022-10-4,20,4.28,
107,2022-10-4,40,3.89,
108,2022-10-4,12.5,3.91,
109,2022-10-4,22.5,2.97,
110,2022-10-4,32.5,0.35,
111,2022-10-4,35.0,3.45,
112,2022-10-4,55.0,0.89,
113,2022-10-4,45.0,2.54,
114,2022-10-4,10,2.91,
115,2022-10-4,25.0,3.77,
116,2022-10-4,37.5,1.95,
117,2022-10-4,42.5,3.66,
118,2022-10-4,50.0,2.2,
119,2022-10-4,57.5,3.72,
120,2022-10-4,12.5,4.02,
121,2022-10-4,37.5,4.61,
122,2022-10-4,22.5,2.93,
123,2022-10-4,10,4.89,
124,2022-10-4,30,0.8,
125,2022-10-4,25.0,2.04,
126,2022-10-4,22.5,1.79,
127,2022-10-4,10,4.79,
128,2022-10-4,12.5,0.31,
129,2022-10-4,47.5,3.32,
130,2022-10-4,25.0,3.2,
131,2022-10-4,35.0,4.01,
132,2022-10-4,32.5,3.29,
133,2022-10-4,30,3.96,
134,2022-10-4,10,4.36,
135,2022-10-4,55.0,2.06,
136,2022-10-4,57.5,1.07,
137,2022-10-4,55.0,2.96,
138,2022-10-4,10,4.25,
139,2022-10-4,47.5,4.84,
140,2022-10-4,55.0,1.72,
141,2022-10-4,45.0,4.02,
