Order_ID, Date_, Subtotal, Tip, Coupon_Code, Time_
0,2022-10-3,57.5,2.92,,15:38
1,2022-10-3,22.5,2.4,,22:12
2,2022-10-3,15.0,3.48,,21:43
3,2022-10-3,40.0,1.13,,13:11
4,2022-10-3,45.0,1.65,,12:37
5,2022-10-3,77.5,1.34,,22:3
6,2022-10-3,57.5,3.79,,16:8
7,2022-10-3,65.0,4.29,,21:29
8,2022-10-3,12.5,3.08,,14:5
9,2022-10-3,30.0,2.12,,22:24
10,2022-10-3,12.5,1.78,,21:56
11,2022-10-3,60.0,2.63,,18:5
12,2022-10-3,55.5,0.2,,17:22
13,2022-10-3,60.0,1.8,,19:2
14,2022-10-3,53.0,3.05,,12:10
15,2022-10-3,52.5,4.72,,18:16
16,2022-10-3,22.5,1.26,,21:6
17,2022-10-3,42.5,4.17,,18:9
18,2022-10-3,65.0,0.84,,12:28
19,2022-10-3,12.5,4.74,,19:40
20,2022-10-3,10.0,0.46,,12:6
21,2022-10-3,80.0,0.5,,13:41
22,2022-10-3,20.0,4.55,,19:35
23,2022-10-3,45.0,2.76,,12:45
24,2022-10-3,60.0,0.13,,18:49
25,2022-10-3,35.0,3.94,,22:36
26,2022-10-3,27.5,0.26,,19:13
27,2022-10-3,50.0,0.38,,18:21
28,2022-10-3,20.0,4.03,,13:12
29,2022-10-3,28.0,4.24,,13:18
30,2022-10-3,55.0,3.91,,19:1
31,2022-10-3,70.0,3.39,,21:0
32,2022-10-3,32.5,0.23,,16:1
33,2022-10-3,10.0,1.92,,22:34
34,2022-10-3,45.0,4.74,,17:36
35,2022-10-3,82.5,4.87,,11:36
36,2022-10-3,10.0,2.32,,21:34
37,2022-10-3,50.0,2.09,,13:20
38,2022-10-3,55.0,3.42,,12:11
39,2022-10-3,12.5,4.42,,17:18
40,2022-10-3,42.5,3.06,,20:19
41,2022-10-3,60.0,1.2,,13:3
42,2022-10-3,52.5,3.13,,22:44
43,2022-10-3,25.0,2.24,,12:53
44,2022-10-3,15.0,0.41,,22:18
45,2022-10-3,50.0,0.51,,11:12
46,2022-10-3,27.5,0.74,,16:27
47,2022-10-3,10.0,0.41,,22:13
48,2022-10-3,20.0,4.24,,16:7
49,2022-10-3,30.0,0.23,,19:59
50,2022-10-3,57.5,0.64,,16:24
51,2022-10-3,45.0,3.57,,15:49
52,2022-10-3,45.0,1.51,,19:39
53,2022-10-3,72.5,4.25,,14:18
54,2022-10-3,62.5,0.94,,13:24
55,2022-10-3,22.5,3.59,,11:19
56,2022-10-3,60.0,4.77,,18:53
57,2022-10-3,10.0,2.67,,22:14
58,2022-10-3,27.5,3.29,,11:49
59,2022-10-3,15.0,4.19,,17:1
60,2022-10-3,62.5,4.78,,21:32
61,2022-10-3,67.5,2.96,,15:31
62,2022-10-3,30.0,2.0,,20:1
63,2022-10-3,45.0,1.8,,20:46
64,2022-10-3,20.0,1.87,,21:10
65,2022-10-3,57.5,4.88,,15:49
66,2022-10-3,52.5,2.93,,18:17
67,2022-10-3,60.0,0.29,,14:11
68,2022-10-3,32.5,1.68,,21:8
69,2022-10-3,52.5,2.19,,20:15
70,2022-10-3,57.5,0.57,,20:36
71,2022-10-3,65.0,3.37,,17:8
72,2022-10-3,30.0,3.45,,16:51
73,2022-10-3,57.5,3.17,,12:19
74,2022-10-3,25.0,0.5,,17:34
75,2022-10-3,52.5,1.15,,18:36
76,2022-10-3,20.0,3.16,,19:2
77,2022-10-3,12.5,1.55,,19:13
78,2022-10-3,37.5,0.23,,12:14
79,2022-10-3,90.0,4.14,,22:12
80,2022-10-3,55.0,3.27,,15:55
81,2022-10-3,27.5,1.13,,17:44
82,2022-10-3,50.0,2.5,,14:42
83,2022-10-3,37.5,3.22,,22:48
84,2022-10-3,25.0,3.02,,21:21
85,2022-10-3,35.0,2.48,,21:13
86,2022-10-3,37.5,3.31,,15:47
87,2022-10-3,77.5,3.97,,21:20
88,2022-10-3,20.0,3.71,,20:23
89,2022-10-3,52.5,3.07,,16:36
90,2022-10-3,37.5,0.31,,15:45
91,2022-10-3,67.5,1.8,,22:53
92,2022-10-3,45.0,2.14,,19:14
93,2022-10-3,50.0,1.65,,14:27
94,2022-10-3,20.0,3.81,,13:41
95,2022-10-3,40.0,3.39,,13:58
96,2022-10-3,35.0,2.94,,22:48
97,2022-10-3,42.5,4.58,,22:15
98,2022-10-3,40.0,3.0,,18:9
99,2022-10-3,77.5,3.26,,19:29
100,2022-10-3,37.5,0.57,,21:55
101,2022-10-3,10.0,0.69,,18:58
102,2022-10-3,55.0,4.3,,18:21
103,2022-10-3,37.5,1.7,,20:35
104,2022-10-3,12.5,1.12,,17:32
105,2022-10-3,30.0,0.76,,16:55
106,2022-10-3,68.0,2.8,,15:46
107,2022-10-3,15.0,2.38,,16:23
108,2022-10-3,22.5,2.6,,22:20
109,2022-10-3,62.5,4.46,,22:35
110,2022-10-3,42.5,2.27,,16:22
111,2022-10-3,10.0,2.95,,17:28
112,2022-10-3,12.5,4.23,,12:56
113,2022-10-3,45.0,1.24,,20:56
114,2022-10-3,30.0,1.73,,18:54
115,2022-10-3,10.0,0.46,,16:2
116,2022-10-3,77.5,3.16,,19:6
117,2022-10-3,20.0,2.03,,20:57
118,2022-10-3,40.0,0.2,,11:6
119,2022-10-3,47.5,0.98,,13:1
120,2022-10-3,60.0,2.83,,12:13
121,2022-10-3,58.0,0.81,,13:39
122,2022-10-3,52.5,1.31,,12:14
123,2022-10-4,22.5,3.37,,11:15
124,2022-10-4,40.0,3.0,,16:43
125,2022-10-4,25.0,3.93,,13:24
126,2022-10-4,15.0,0.93,,20:1
127,2022-10-4,55.0,3.68,,18:0
128,2022-10-4,52.5,3.57,,16:50
129,2022-10-4,35.0,1.82,,18:59
130,2022-10-4,12.5,0.62,,14:21
131,2022-10-4,85.0,4.33,,13:19
132,2022-10-4,25.0,2.97,,13:17
133,2022-10-4,77.5,1.33,,17:42
134,2022-10-4,70.0,0.68,,21:32
135,2022-10-4,57.5,2.76,,19:5
136,2022-10-4,37.5,4.62,,15:53
137,2022-10-4,65.0,0.3,,13:49
138,2022-10-4,35.5,1.84,,18:12
139,2022-10-4,65.0,4.4,,15:7
140,2022-10-4,52.5,0.41,,11:16
141,2022-10-4,15.0,4.51,,22:10
142,2022-10-4,52.5,2.32,,13:16
143,2022-10-4,50.0,0.15,,12:44
144,2022-10-4,77.5,3.91,,11:59
145,2022-10-4,20.0,4.67,,15:43
146,2022-10-4,60.5,3.3,,22:21
147,2022-10-4,57.5,4.76,,18:54
148,2022-10-4,30.0,4.02,,11:58
149,2022-10-4,23.0,0.57,,14:48
150,2022-10-4,52.5,0.62,,21:37
151,2022-10-4,10.0,1.32,,11:0
152,2022-10-4,32.5,3.14,,13:38
153,2022-10-4,40.0,4.04,,20:36
154,2022-10-4,15.0,3.74,,15:50
155,2022-10-4,52.5,3.94,,20:44
156,2022-10-4,35.0,0.9,,12:56
157,2022-10-4,42.5,2.91,,15:10
158,2022-10-4,65.0,0.66,,22:47
159,2022-10-4,60.0,3.24,,20:30
160,2022-10-4,37.5,3.24,,16:18
161,2022-10-4,72.5,1.98,,12:44
162,2022-10-4,12.5,1.56,,22:33
163,2022-10-4,37.5,0.85,,22:36
164,2022-10-4,57.5,4.33,,12:2
165,2022-10-4,38.0,0.74,,12:48
166,2022-10-4,50.0,1.04,,11:36
167,2022-10-4,35.0,1.34,,20:57
168,2022-10-4,32.5,4.58,,12:41
169,2022-10-4,65.0,1.86,,18:14
170,2022-10-4,12.5,3.54,,19:21
171,2022-10-4,55.0,0.2,,14:47
172,2022-10-4,32.5,3.39,,22:42
173,2022-10-4,85.0,1.3,,15:38
