Order_Item_Id, Topping_ID, Quantity_Used
0,8,3
0,8,1
3,8,3
3,8,3
4,2,1
4,1,3
5,3,1
6,6,1
6,2,1
7,2,1
8,7,2
10,2,1
10,1,1
11,7,1
14,8,3
14,1,1
15,3,3
15,2,1
16,4,1
16,8,1
17,6,1
17,6,1
18,2,1
19,8,2
20,1,3
21,2,3
21,8,1
23,2,3
26,1,1
28,8,3
30,5,1
30,6,3
33,1,2
36,5,3
37,7,3
37,5,2
38,1,2
39,1,2
39,1,2
40,4,2
40,6,2
41,6,2
41,6,1
44,1,3
44,8,1
45,1,1
45,1,1
46,8,2
46,1,3
47,7,1
49,6,2
49,3,1
50,6,1
50,7,3
51,5,2
52,1,3
52,1,3
53,6,1
53,6,3
55,4,3
55,5,3
56,3,2
57,1,1
58,7,3
58,3,3
59,5,3
60,1,1
60,1,2
62,7,2
63,8,2
64,5,2
65,2,2
66,5,3
67,8,1
67,7,1
69,7,3
70,7,1
71,5,1
71,7,3
73,4,3
75,1,1
76,2,1
76,8,2
77,6,2
78,8,2
79,4,2
80,5,1
80,8,2
82,7,3
82,2,2
83,5,2
84,7,1
85,3,1
87,6,2
87,2,3
90,2,1
90,8,1
91,8,3
92,5,1
97,7,2
97,3,2
98,8,3
99,2,1
100,2,3
102,3,3
103,1,1
103,4,2
104,6,1
104,4,1
105,5,1
106,1,2
106,3,2
108,2,1
110,1,1
112,4,2
112,6,3
113,2,3
114,5,3
115,8,3
115,4,3
117,4,2
118,4,2
119,2,1
119,6,2
120,1,1
121,5,2
121,4,2
122,6,1
122,1,2
123,6,3
124,2,3
126,5,2
127,4,2
127,3,3
128,4,3
129,3,3
130,5,2
130,4,1
133,6,2
134,7,2
137,2,3
137,4,2
138,8,1
138,8,3
141,4,1
141,2,2
143,5,1
143,7,3
145,3,3
146,2,3
147,2,3
147,7,3
150,7,2
151,8,3
152,1,1
153,3,2
154,6,3
156,2,2
158,7,1
158,3,1
159,4,2
160,2,1
160,5,2
162,7,1
162,3,1
165,1,3
166,6,3
168,2,2
168,3,3
169,2,2
169,4,2
170,7,3
170,4,2
171,8,3
171,2,3
173,7,2
174,5,1
174,6,2
176,5,3
176,2,3
177,2,1
178,2,2
178,5,2
179,4,3
182,1,1
183,8,2
183,8,3
184,5,1
185,6,3
185,8,1
186,7,2
186,1,1
188,6,3
189,2,1
189,7,1
191,8,3
192,4,1
193,3,1
193,3,1
194,5,1
194,8,3
195,5,1
196,4,2
197,4,2
197,7,3
198,6,1
198,8,1
200,6,3
200,2,3
202,5,2
205,2,1
205,7,1
209,4,2
210,4,3
210,2,2
211,8,1
214,1,3
214,7,2
215,3,2
216,5,1
217,3,3
217,5,2
218,2,2
219,2,1
219,5,3
220,1,2
220,2,1
222,3,1
222,1,1
223,2,2
223,8,2
224,6,1
224,8,1
227,3,1
228,1,2
229,2,2
229,3,1
230,2,1
230,3,3
232,8,1
232,2,1
236,2,1
237,6,1
238,6,3
238,4,2
241,2,2
242,1,1
242,3,1
243,8,2
244,4,1
244,7,2
245,8,1
245,8,2
246,8,2
248,8,1
249,7,2
249,8,3
250,8,2
251,3,2
252,8,3
254,2,3
260,6,2
260,5,2
261,5,2
261,4,1
263,7,2
265,5,1
267,2,2
267,5,1
268,7,2
269,8,1
270,5,3
271,4,1
273,5,3
273,1,2
274,3,2
274,3,2
275,3,2
276,1,2
277,6,1
278,2,3
278,2,3
280,7,1
280,6,1
283,3,1
